word,fontcolor,type,correct_key,thisN,thisTrialN,thisRepN,keyStroop.keys,keyStroop.rt,keyStroop.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,blank500ms.started,fix.started,fix.stopped,blank500ms.stopped,trial.started,textStroop.started,keyStroop.started,trial.stopped,trials.keyStroop.keys,trials.keyStroop.rt,trials.keyStroop.duration,goodbye.started,key_instruct_2.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,True,0.04323959999601357,0.19806900000548922,4.726142700004857,space,4.512387000024319,None,,,,,,,,,,,,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.726252100022975,4.735797700006515,5.251265400002012,5.2209995000157505,,,,,,,,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
RED,red,congruent,up,0,0,0,None,,,0,0,0,0,5.251265400002012,,,,,,,,,7.239474700007122,7.253431400022237,,7.740672400017502,5.240686800010735,5.251265400002012,5.251265400002012,7.239421400008723,None,,,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
GREEN,green,congruent,right,1,1,0,down,1.3965549000131432,None,0,1,1,1,7.754651299997931,,,,,,,,,9.159084700018866,9.17290080001112,,9.661788700002944,7.748617800010834,7.754651299997931,7.754651299997931,9.158985200017923,down,1.3965549000131432,None,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
BLUE,blue,congruent,down,2,2,0,right,0.5180569000076503,None,0,2,2,2,9.688680000021122,,,,,,,,,10.209297399997013,10.223591600020882,,10.71071889999439,9.671176400006516,9.688680000021122,9.688680000021122,10.20923920001951,right,0.5180569000076503,None,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
YELLOW,yellow,congruent,left,3,3,0,left,0.6983390999957919,None,0,3,3,3,10.740491800010204,,,,,,,,,11.443792600010056,11.457405399996787,,11.945514000020921,10.718846600007964,10.740491800010204,10.740491800010204,11.443734700005734,left,0.6983390999957919,None,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
RED,blue,incongruent,down,4,4,0,up,0.7614205999998376,None,0,4,4,4,11.95741740000085,,,,,,,,,12.729819100000896,12.742652500019176,13.242539800005034,13.229698800016195,11.948440800013486,11.95741740000085,11.95741740000085,12.729738199996063,up,0.7614205999998376,None,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
GREEN,yellow,incongruent,left,5,5,0,None,,,0,5,5,5,13.242539800005034,,,,,,,,,15.230525699997088,15.243967400019756,,15.73035019999952,13.234113000013167,13.242539800005034,13.242539800005034,15.230469900008757,None,,,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
BLUE,red,incongruent,up,6,6,0,right,0.26249409999581985,None,0,6,6,6,15.744705699995393,,,,,,,,,16.014038299996173,16.02819450001698,,16.515693800000008,15.732747100002598,15.744705699995393,15.744705699995393,16.01398180000251,right,0.26249409999581985,None,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
YELLOW,green,incongruent,right,7,7,0,left,1.1185360999952536,None,0,7,7,7,16.528123299998697,,,,,,,,,17.65018460000283,17.663746300007915,18.163388700020732,18.14929729999858,16.518483499996364,16.528123299998697,16.528123299998697,17.650123500003247,left,1.1185360999952536,None,,,pilot,001,2026-04-02_07h56.18.761,stroop01,,2026.1.2,2026-04-02 07h56.19.015268 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.149416100000963,18.163388700020732,,,,,,,,
