county,lat_county_center,long_county_center
BARKING AND DAGENHAM,51.62107661,0.129583051
BARNET,51.81256694,-0.218212445
BARNSLEY,53.57191098,-1.548718974
BATH AND NORTH EAST SOMERSET,51.35492905,-2.486676138
BEDFORD,52.14547001,-0.454973301
BEXLEY,51.33624797,0.146333407
BIRMINGHAM,52.12172697,-1.881328119
BLACKBURN WITH DARWEN,53.63720442,-2.463700425
BLACKPOOL,53.88212196,-3.022900066
BLAENAU GWENT,51.75161017,-3.186241492
BOLTON,53.73811376,-2.479407799
BRACKNELL FOREST,51.45793747,-0.733644127
BRADFORD,53.97211699,-1.873874897
BRENT,51.76169531,-0.275692697
BRIDGEND,51.52286093,-3.613746411
BRIGHTON AND HOVE,50.94891785,-0.150780941
"BRISTOL, CITY OF",51.53204217,-2.577485946
BROMLEY,51.22514316,0.039051596
BUCKINGHAMSHIRE,51.9292855,-0.805400428
BURY,53.61554485,-2.30886358
CAERPHILLY,51.62779045,-3.197367403
CALDERDALE,53.76978989,-1.961609485
CAMBRIDGESHIRE,52.1334373,-0.2350376
CAMDEN,51.69346289,-0.162941181
CARDIFF,51.56643825,-3.222318654
CARMARTHENSHIRE,51.92106329,-4.21129537
CENTRAL BEDFORDSHIRE,51.99983075,-0.477580968
CEREDIGION,52.29790936,-3.952439137
CHESHIRE EAST,53.20970089,-2.292353233
CHESHIRE WEST AND CHESTER,53.12468062,-2.70364014
CITY OF LONDON,51.51586908,-0.093450243
CONWY,53.12545976,-3.74692783
CORNWALL,50.24914483,-4.642078262
COUNTY DURHAM,54.46929295,-1.840981987
COVENTRY,52.20618619,-1.519033289
CROYDON,51.33121403,-0.077737098
CUMBRIA,54.47061064,-2.902600884
DARLINGTON,54.5135409,-1.568019613
DENBIGHSHIRE,53.07311444,-3.347664363
DERBY,52.98317482,-1.471765468
DERBYSHIRE,52.96223036,-1.601940671
DEVON,50.75997314,-3.65726858
DONCASTER,53.57902313,-1.109151902
DORSET,50.80119208,-2.414111058
DUDLEY,52.46603831,-2.101688962
EALING,51.69941693,-0.314132944
EAST RIDING OF YORKSHIRE,53.95064397,-0.661980863
EAST SUSSEX,50.83192268,0.334416979
ENFIELD,51.79828615,-0.08133942
ESSEX,51.6117648,0.540879963
FLINTSHIRE,53.1844556,-3.176529471
GATESHEAD,54.98408952,-1.686797096
GLOUCESTERSHIRE,51.95118048,-2.152134059
GREENWICH,51.2985436,0.050097991
GWYNEDD,52.9079829,-3.815806494
HACKNEY,51.71557757,-0.060476702
HALTON,53.37945761,-2.688530944
HAMMERSMITH AND FULHAM,51.45667814,-0.217348666
HAMPSHIRE,51.35884492,-1.247225837
HARINGEY,51.71488116,-0.106708968
HARROW,51.69501777,-0.33601358
HARTLEPOOL,54.6701701,-1.270287682
HAVERING,51.68802219,0.235389404
"HEREFORDSHIRE, COUNTY OF",52.05659867,-2.739499342
HERTFORDSHIRE,51.97546027,-0.2768102
HILLINGDON,51.67746306,-0.441683562
HOUNSLOW,51.31546779,-0.378514474
ISLE OF ANGLESEY,53.27637541,-4.323498092
ISLE OF WIGHT,50.62684579,-1.333559495
ISLES OF SCILLY,49.92385774,-6.302263517
ISLINGTON,51.66454241,-0.109929603
KENSINGTON AND CHELSEA,51.49977272,-0.189810659
KENT,51.0669651,0.721771978
"KINGSTON UPON HULL, CITY OF",53.89415872,-0.303809929
KINGSTON UPON THAMES,51.42789651,-0.283683843
KIRKLEES,53.84777778,-1.780820704
KNOWSLEY,53.48285095,-2.832978987
LAMBETH,51.25292329,-0.113802328
LANCASHIRE,53.39410423,-2.460895308
LEEDS,53.55495353,-1.50744367
LEICESTER,52.70360736,-1.13041692
LEICESTERSHIRE,52.37238997,-1.377482482
LEWISHAM,51.26145828,-0.017302278
LINCOLNSHIRE,53.01932041,-0.238400153
LIVERPOOL,53.51159426,-2.913358353
LUTON,51.96793222,-0.423145126
MANCHESTER,53.61817441,-2.233722269
MEDWAY,51.32756654,0.56323414
MERTHYR TYDFIL,51.74917751,-3.364037083
MERTON,51.37365292,-0.188682848
MIDDLESBROUGH,54.50980825,-1.211038057
MILTON KEYNES,52.01691691,-0.740623092
MONMOUTHSHIRE,51.78143655,-2.903938001
NEATH PORT TALBOT,51.59538788,-3.745865726
NEWCASTLE UPON TYNE,55.0020853,-1.652806625
NEWHAM,51.75154898,0.027418314
NEWPORT,51.53251425,-2.897750845
