subject,condition,rt_ms
5,incongruent,523.2556554821543
38,incongruent,514.334772442769
33,incongruent,450.0908060155418
22,incongruent,575.5936159098151
22,incongruent,490.1837207635681
43,incongruent,486.22087976765516
5,incongruent,501.7840548262199
35,congruent,614.5275022105069
10,incongruent,562.8091015449581
5,incongruent,499.5664747906571
26,congruent,535.8900567946002
48,incongruent,480.6283255669696
37,congruent,450.6461071950861
38,incongruent,439.25808773116836
36,congruent,524.7288933558287
39,incongruent,581.0912784900631
26,incongruent,387.4520666779084
7,congruent,516.7949113771045
42,congruent,372.5051464940053
23,incongruent,517.973447953062
25,incongruent,556.3245323795808
19,congruent,427.55667417150374
9,congruent,515.4442221000684
46,incongruent,572.8154605537998
39,incongruent,383.413049876183
32,congruent,610.8695796553474
20,congruent,443.5435866834855
41,congruent,539.0420514762027
27,incongruent,466.0837737910798
22,congruent,510.64683232657376
23,incongruent,472.4344116701399
12,congruent,467.9823258633843
5,congruent,539.8300721692182
28,congruent,459.0096585032211
44,incongruent,518.3117068269446
4,incongruent,389.16715355800704
43,incongruent,525.3002883561596
41,incongruent,472.53788603661866
14,incongruent,572.6507571562043
31,congruent,379.07516150917104
9,incongruent,444.3423219723917
38,congruent,517.7247753517663
35,congruent,450.86123732130693
18,congruent,408.355637353794
4,incongruent,434.7751339918859
48,incongruent,450.98162404056984
22,congruent,378.64499117454363
44,incongruent,440.6129819369783
34,incongruent,719.6660620993438
39,congruent,500.8632052450208
38,congruent,511.3093528152567
10,congruent,484.3625302423375
18,congruent,587.601184476299
23,incongruent,494.58418948403994
25,incongruent,452.1492122769777
3,incongruent,486.9652302379321
27,incongruent,585.0654590415597
8,incongruent,562.3961335764722
37,incongruent,339.3312536223516
34,congruent,494.0245393943879
46,congruent,537.9394921448772
37,congruent,500.6204536113447
18,congruent,718.4692282243587
48,congruent,538.5829062422343
21,incongruent,556.4005846945125
16,incongruent,387.1122196555729
45,incongruent,383.1408604341273
19,congruent,436.4047384586815
4,congruent,395.3514238672494
24,incongruent,516.5806016368691
39,congruent,432.06747370838434
10,congruent,358.76829561475427
23,incongruent,575.483179505929
7,congruent,504.6821718965847
34,congruent,503.14445585797637
24,congruent,438.7284623280321
17,incongruent,521.3658145132711
12,incongruent,514.80410730081
28,congruent,531.7464050417021
33,incongruent,452.3117239827259
47,incongruent,456.255107342456
22,incongruent,440.67055849226443
8,congruent,417.59355118522984
41,congruent,648.0916300549356
31,incongruent,274.6196454330572
35,congruent,390.1570097343294
5,congruent,496.76782163122937
16,congruent,418.54352460102314
38,congruent,496.74948535710485
41,congruent,369.8518283828781
22,incongruent,325.1183729917261
40,incongruent,456.4493339833104
42,incongruent,577.5120109695868
19,incongruent,510.6881390194727
45,congruent,556.407416393039
15,congruent,595.6983101287097
12,congruent,548.3021022625064
34,incongruent,424.15218327789506
32,incongruent,456.7435166897725
7,congruent,401.7935430649021
41,incongruent,462.45054965512196
10,incongruent,430.68899432954214
40,incongruent,514.22925493707
1,incongruent,407.76142186779236
40,congruent,454.7727170964797
39,incongruent,574.9485457889393
39,congruent,573.7137572514487
33,incongruent,536.9001177487768
24,congruent,395.6449263067617
35,incongruent,742.539618988016
14,congruent,458.8973768986
39,incongruent,519.3337718761354
28,congruent,461.4736373418803
23,incongruent,479.6372812394649
25,congruent,287.64307321981187
28,congruent,527.9058337540306
2,congruent,407.5636813442313
7,congruent,596.8409615407344
13,incongruent,528.0791696663213
6,congruent,618.8979751994322
22,congruent,446.05854390668605
33,incongruent,421.37973558361966
33,congruent,574.4072000066444
24,incongruent,533.9327656569952
42,congruent,550.057996019621
28,incongruent,481.7255960385603
4,congruent,406.52131073720983
38,incongruent,423.2282384935911
29,congruent,562.4389766596645
32,incongruent,542.5740158999782
28,congruent,543.6428677388833
28,incongruent,462.8675156713838
5,congruent,398.71216762029604
28,congruent,453.64743920158213
39,incongruent,435.654494964671
15,incongruent,629.0765520848805
30,incongruent,590.2811400274851
2,incongruent,452.0973739798564
18,incongruent,668.8701848033185
22,congruent,532.0402046433874
49,incongruent,489.2657553119516
11,incongruent,472.3427504527733
14,congruent,574.625333132119
21,congruent,453.7917221175374
49,congruent,591.2970272278721
42,incongruent,466.6642735384662
2,incongruent,543.6998721125219
12,incongruent,571.8423969563394
41,incongruent,438.57968558679954
3,incongruent,536.800941071438
42,incongruent,600.651124085413
14,congruent,417.7438326666511
45,congruent,505.12931815899896
15,incongruent,624.5516526381824
22,congruent,536.6693332856609
33,incongruent,503.10664843695395
7,congruent,571.6026496301058
28,congruent,639.2655203711812
25,incongruent,556.3490437399623
39,congruent,635.3811463581459
49,incongruent,499.57608794825387
33,congruent,597.6015784885396
21,congruent,446.0852770178402
20,congruent,651.0872277043777
21,incongruent,513.8895264988795
40,congruent,515.1539234384999
16,incongruent,617.4375442610781
9,incongruent,514.4123966568868
17,congruent,490.2782145592627
2,congruent,460.41131941385845
6,incongruent,536.3322838613028
5,congruent,486.01387016516617
38,incongruent,482.08522609751515
36,congruent,585.4363106605474
35,congruent,569.0719385006688
23,congruent,421.4808950020863
36,incongruent,419.9640418033388
8,incongruent,347.0930293150895
45,congruent,387.57103844908113
25,incongruent,666.1193878190288
46,incongruent,482.37722293169793
8,congruent,556.4968523771347
25,congruent,504.6854421970823
35,congruent,571.3760652052879
25,incongruent,574.4946247122691
22,incongruent,355.76758026851905
9,incongruent,498.493051666674
19,incongruent,509.9871592217003
12,congruent,545.027681563232
15,incongruent,459.7665740196879
34,incongruent,528.7079165739873
31,incongruent,463.8009796807301
30,congruent,426.11042599294655
18,incongruent,475.131610959938
48,congruent,422.2021396722198
5,incongruent,579.3684472746512
17,incongruent,496.55258666308885
6,incongruent,430.2669808538646
17,incongruent,497.0927260700202
48,incongruent,504.274624431689
18,incongruent,416.59164922922
45,incongruent,565.2829984321027
25,incongruent,490.45046053322574
35,incongruent,536.8964420915453
23,incongruent,472.6827227171797
14,incongruent,432.8396133554672
38,congruent,415.9651188992915
48,congruent,565.5434512780683
13,incongruent,571.9837740981905
