學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,總計,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女,city_name,sector
1,國立政治大學,D 日,D 博士,113.0,66.0,91.0,68.0,90.0,63.0,77.0,58.0,86.0,48.0,84.0,40.0,64.0,33.0,0.0,0.0,30 臺北市,1 一般,105,981.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
1,國立政治大學,D 日,M 碩士,617.0,755.0,622.0,712.0,352.0,422.0,217.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,3962.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
1,國立政治大學,D 日,B 學士,872.0,1347.0,1017.0,1232.0,850.0,1367.0,846.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,455.0,30 臺北市,1 一般,105,9711.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
1,國立政治大學,N 職,M 碩士,281.0,297.0,261.0,265.0,193.0,160.0,92.0,84.0,55.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,1718.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
2,國立清華大學,D 日,D 博士,235.0,83.0,205.0,59.0,211.0,55.0,167.0,41.0,148.0,46.0,125.0,43.0,173.0,54.0,0.0,0.0,18 新竹市,1 一般,105,1645.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
2,國立清華大學,D 日,M 碩士,1206.0,492.0,1056.0,484.0,378.0,188.0,122.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,105,4028.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
2,國立清華大學,D 日,B 學士,967.0,568.0,949.0,583.0,960.0,533.0,950.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,100.0,18 新竹市,1 一般,105,6369.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
2,國立清華大學,N 職,M 碩士,121.0,79.0,96.0,48.0,20.0,16.0,13.0,13.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18 新竹市,1 一般,105,424.0,,,,,,,,,,,,,,,,,,,,,新竹市,公立
3,國立臺灣大學,D 日,D 博士,471.0,183.0,409.0,185.0,389.0,153.0,349.0,163.0,384.0,148.0,314.0,147.0,363.0,155.0,0.0,0.0,30 臺北市,1 一般,105,3813.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
3,國立臺灣大學,D 日,M 碩士,2478.0,1510.0,2323.0,1461.0,912.0,661.0,447.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,10154.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
3,國立臺灣大學,D 日,B 學士,2108.0,1622.0,2105.0,1600.0,2057.0,1655.0,2051.0,1553.0,165.0,87.0,139.0,51.0,0.0,0.0,778.0,528.0,30 臺北市,1 一般,105,16499.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
3,國立臺灣大學,N 職,M 碩士,288.0,191.0,264.0,168.0,160.0,68.0,54.0,25.0,53.0,11.0,23.0,12.0,0.0,0.0,0.0,0.0,30 臺北市,1 一般,105,1317.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
4,國立臺灣師範大學,D 日,D 博士,108.0,124.0,119.0,125.0,123.0,103.0,100.0,101.0,96.0,86.0,77.0,68.0,78.0,58.0,0.0,0.0,30 臺北市,3 師範,105,1366.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
4,國立臺灣師範大學,D 日,M 碩士,610.0,759.0,533.0,699.0,293.0,472.0,210.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30 臺北市,3 師範,105,3926.0,,,,,,,,,,,,,,,,,,,,,臺北市,公立
