學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度,city_name,總計,sector,男生計,女生計,一年級男,一年級女,二年級男,二年級女,三年級男,三年級女,四年級男,四年級女,五年級男,五年級女,六年級男,六年級女,七年級男,七年級女,延修生男,延修生女,華語先修生男,華語先修生女
1,國立政治大學,D 日,D 博士,113,66,91,68,90,63,77,58,86.0,48.0,84.0,40.0,64.0,33.0,0,0.0,30 臺北市,1 一般,105,臺北市,981.0,公立,,,,,,,,,,,,,,,,,,,,
1,國立政治大學,D 日,M 碩士,617,755,622,712,352,422,217,265,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,3962.0,公立,,,,,,,,,,,,,,,,,,,,
1,國立政治大學,D 日,B 學士,872,1347,1017,1232,850,1367,846,1398,0.0,0.0,0.0,0.0,0.0,0.0,327,455.0,30 臺北市,1 一般,105,臺北市,9711.0,公立,,,,,,,,,,,,,,,,,,,,
1,國立政治大學,N 職,M 碩士,281,297,261,265,193,160,92,84,55.0,30.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,1718.0,公立,,,,,,,,,,,,,,,,,,,,
2,國立清華大學,D 日,D 博士,235,83,205,59,211,55,167,41,148.0,46.0,125.0,43.0,173.0,54.0,0,0.0,18 新竹市,1 一般,105,新竹市,1645.0,公立,,,,,,,,,,,,,,,,,,,,
2,國立清華大學,D 日,M 碩士,1206,492,1056,484,378,188,122,101,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,18 新竹市,1 一般,105,新竹市,4028.0,公立,,,,,,,,,,,,,,,,,,,,
2,國立清華大學,D 日,B 學士,967,568,949,583,960,533,950,525,0.0,0.0,0.0,0.0,0.0,0.0,234,100.0,18 新竹市,1 一般,105,新竹市,6369.0,公立,,,,,,,,,,,,,,,,,,,,
2,國立清華大學,N 職,M 碩士,121,79,96,48,20,16,13,13,12.0,6.0,0.0,0.0,0.0,0.0,0,0.0,18 新竹市,1 一般,105,新竹市,424.0,公立,,,,,,,,,,,,,,,,,,,,
3,國立臺灣大學,D 日,D 博士,471,183,409,185,389,153,349,163,384.0,148.0,314.0,147.0,363.0,155.0,0,0.0,30 臺北市,1 一般,105,臺北市,3813.0,公立,,,,,,,,,,,,,,,,,,,,
3,國立臺灣大學,D 日,M 碩士,2478,1510,2323,1461,912,661,447,362,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,10154.0,公立,,,,,,,,,,,,,,,,,,,,
3,國立臺灣大學,D 日,B 學士,2108,1622,2105,1600,2057,1655,2051,1553,165.0,87.0,139.0,51.0,0.0,0.0,778,528.0,30 臺北市,1 一般,105,臺北市,16499.0,公立,,,,,,,,,,,,,,,,,,,,
3,國立臺灣大學,N 職,M 碩士,288,191,264,168,160,68,54,25,53.0,11.0,23.0,12.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,1317.0,公立,,,,,,,,,,,,,,,,,,,,
4,國立臺灣師範大學,D 日,D 博士,108,124,119,125,123,103,100,101,96.0,86.0,77.0,68.0,78.0,58.0,0,0.0,30 臺北市,3 師範,105,臺北市,1366.0,公立,,,,,,,,,,,,,,,,,,,,
4,國立臺灣師範大學,D 日,M 碩士,610,759,533,699,293,472,210,350,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,3 師範,105,臺北市,3926.0,公立,,,,,,,,,,,,,,,,,,,,
4,國立臺灣師範大學,D 日,B 學士,885,1091,858,1064,786,1074,757,1036,0.0,0.0,0.0,0.0,0.0,0.0,237,240.0,30 臺北市,3 師範,105,臺北市,8028.0,公立,,,,,,,,,,,,,,,,,,,,
4,國立臺灣師範大學,N 職,M 碩士,207,436,129,321,108,323,64,153,34.0,108.0,32.0,72.0,0.0,0.0,0,0.0,30 臺北市,3 師範,105,臺北市,1987.0,公立,,,,,,,,,,,,,,,,,,,,
5,國立成功大學,D 日,D 博士,215,96,227,88,188,100,178,72,196.0,77.0,180.0,68.0,192.0,62.0,0,0.0,21 臺南市,1 一般,105,臺南市,1939.0,公立,,,,,,,,,,,,,,,,,,,,
5,國立成功大學,D 日,M 碩士,1787,1037,1729,913,423,280,146,133,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21 臺南市,1 一般,105,臺南市,6448.0,公立,,,,,,,,,,,,,,,,,,,,
5,國立成功大學,D 日,B 學士,1695,1028,1737,990,1653,966,1595,958,69.0,38.0,43.0,35.0,54.0,19.0,411,162.0,21 臺南市,1 一般,105,臺南市,11453.0,公立,,,,,,,,,,,,,,,,,,,,
5,國立成功大學,N 職,M 碩士,271,189,254,161,156,73,96,27,41.0,11.0,0.0,0.0,0.0,0.0,0,0.0,21 臺南市,1 一般,105,臺南市,1279.0,公立,,,,,,,,,,,,,,,,,,,,
6,國立中興大學,D 日,D 博士,117,45,99,40,110,41,102,35,90.0,38.0,93.0,30.0,128.0,60.0,0,0.0,19 臺中市,1 一般,105,臺中市,1028.0,公立,,,,,,,,,,,,,,,,,,,,
6,國立中興大學,D 日,M 碩士,836,545,827,517,250,166,85,92,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,19 臺中市,1 一般,105,臺中市,3322.0,公立,,,,,,,,,,,,,,,,,,,,
6,國立中興大學,D 日,B 學士,1143,799,1152,788,1096,789,1151,802,40.0,28.0,0.0,0.0,0.0,0.0,210,91.0,19 臺中市,1 一般,105,臺中市,8089.0,公立,,,,,,,,,,,,,,,,,,,,
6,國立中興大學,N 職,M 碩士,348,200,314,162,155,69,122,39,99.0,33.0,0.0,0.0,0.0,0.0,0,0.0,19 臺中市,1 一般,105,臺中市,1541.0,公立,,,,,,,,,,,,,,,,,,,,
6,國立中興大學,P 進,B 學士,117,122,90,135,90,123,82,149,62.0,88.0,0.0,0.0,0.0,0.0,5,4.0,19 臺中市,1 一般,105,臺中市,1067.0,公立,,,,,,,,,,,,,,,,,,,,
7,國立交通大學,D 日,D 博士,276,55,228,69,201,50,193,43,163.0,29.0,160.0,43.0,204.0,31.0,0,0.0,18 新竹市,1 一般,105,新竹市,1745.0,公立,,,,,,,,,,,,,,,,,,,,
7,國立交通大學,D 日,M 碩士,1412,644,1346,568,806,319,188,112,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,18 新竹市,1 一般,105,新竹市,5397.0,公立,,,,,,,,,,,,,,,,,,,,
7,國立交通大學,D 日,B 學士,922,409,962,386,921,401,901,389,0.0,0.0,0.0,0.0,0.0,0.0,143,44.0,18 新竹市,1 一般,105,新竹市,5478.0,公立,,,,,,,,,,,,,,,,,,,,
7,國立交通大學,N 職,M 碩士,334,168,317,151,136,50,140,38,102.0,27.0,0.0,0.0,0.0,0.0,0,0.0,18 新竹市,1 一般,105,新竹市,1463.0,公立,,,,,,,,,,,,,,,,,,,,
8,國立中央大學,D 日,D 博士,167,65,123,51,110,46,105,29,111.0,22.0,87.0,29.0,95.0,33.0,0,0.0,03 桃園市,1 一般,105,桃園市,1073.0,公立,,,,,,,,,,,,,,,,,,,,
8,國立中央大學,D 日,M 碩士,976,496,955,447,302,128,82,51,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,03 桃園市,1 一般,105,桃園市,3438.0,公立,,,,,,,,,,,,,,,,,,,,
8,國立中央大學,D 日,B 學士,948,544,975,529,932,542,875,531,0.0,0.0,0.0,0.0,0.0,0.0,172,59.0,03 桃園市,1 一般,105,桃園市,6107.0,公立,,,,,,,,,,,,,,,,,,,,
8,國立中央大學,N 職,M 碩士,331,176,300,206,115,51,73,26,34.0,10.0,3.0,0.0,0.0,0.0,0,0.0,03 桃園市,1 一般,105,桃園市,1325.0,公立,,,,,,,,,,,,,,,,,,,,
9,國立中山大學,D 日,D 博士,118,37,87,43,76,37,94,29,73.0,42.0,62.0,30.0,78.0,23.0,0,0.0,50 高雄市,1 一般,105,高雄市,829.0,公立,,,,,,,,,,,,,,,,,,,,
9,國立中山大學,D 日,M 碩士,748,435,690,377,259,182,141,84,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50 高雄市,1 一般,105,高雄市,2916.0,公立,,,,,,,,,,,,,,,,,,,,
9,國立中山大學,D 日,B 學士,685,451,717,424,697,453,692,402,0.0,0.0,0.0,0.0,0.0,0.0,159,76.0,50 高雄市,1 一般,105,高雄市,4756.0,公立,,,,,,,,,,,,,,,,,,,,
9,國立中山大學,N 職,M 碩士,215,182,159,147,42,67,59,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50 高雄市,1 一般,105,高雄市,916.0,公立,,,,,,,,,,,,,,,,,,,,
12,國立臺灣海洋大學,D 日,D 博士,47,8,33,16,41,7,21,9,21.0,5.0,23.0,7.0,46.0,12.0,0,0.0,17 基隆市,1 一般,105,基隆市,296.0,公立,,,,,,,,,,,,,,,,,,,,
12,國立臺灣海洋大學,D 日,M 碩士,416,214,409,168,106,44,44,13,5.0,3.0,1.0,0.0,0.0,0.0,0,0.0,17 基隆市,1 一般,105,基隆市,1423.0,公立,,,,,,,,,,,,,,,,,,,,
12,國立臺灣海洋大學,D 日,B 學士,953,434,974,409,952,442,894,421,0.0,0.0,0.0,0.0,0.0,0.0,158,35.0,17 基隆市,1 一般,105,基隆市,5672.0,公立,,,,,,,,,,,,,,,,,,,,
12,國立臺灣海洋大學,N 職,M 碩士,170,90,130,107,47,19,22,12,7.0,5.0,3.0,1.0,1.0,1.0,0,0.0,17 基隆市,1 一般,105,基隆市,615.0,公立,,,,,,,,,,,,,,,,,,,,
12,國立臺灣海洋大學,N 修,X 4+X,80,19,69,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,17 基隆市,1 一般,105,基隆市,176.0,公立,,,,,,,,,,,,,,,,,,,,
12,國立臺灣海洋大學,P 進,B 學士,85,49,68,53,59,53,63,47,0.0,0.0,0.0,0.0,0.0,0.0,31,17.0,17 基隆市,1 一般,105,基隆市,525.0,公立,,,,,,,,,,,,,,,,,,,,
13,國立中正大學,D 日,D 博士,72,31,69,36,55,29,48,25,49.0,25.0,41.0,12.0,61.0,17.0,0,0.0,10 嘉義縣,1 一般,105,嘉義縣,570.0,公立,,,,,,,,,,,,,,,,,,,,
13,國立中正大學,D 日,M 碩士,709,390,649,356,272,180,125,111,1.0,3.0,0.0,0.0,0.0,0.0,0,0.0,10 嘉義縣,1 一般,105,嘉義縣,2796.0,公立,,,,,,,,,,,,,,,,,,,,
13,國立中正大學,D 日,B 學士,902,722,914,743,855,751,809,754,0.0,0.0,0.0,0.0,0.0,0.0,152,70.0,10 嘉義縣,1 一般,105,嘉義縣,6672.0,公立,,,,,,,,,,,,,,,,,,,,
13,國立中正大學,N 職,M 碩士,238,251,251,222,101,121,56,62,113.0,82.0,0.0,0.0,0.0,0.0,0,0.0,10 嘉義縣,1 一般,105,嘉義縣,1497.0,公立,,,,,,,,,,,,,,,,,,,,
14,國立高雄師範大學,D 日,D 博士,46,44,31,35,36,34,33,46,35.0,25.0,20.0,25.0,31.0,26.0,0,0.0,50 高雄市,3 師範,105,高雄市,467.0,公立,,,,,,,,,,,,,,,,,,,,
14,國立高雄師範大學,D 日,M 碩士,155,269,172,240,101,170,65,144,16.0,18.0,2.0,8.0,0.0,3.0,0,0.0,50 高雄市,3 師範,105,高雄市,1363.0,公立,,,,,,,,,,,,,,,,,,,,
14,國立高雄師範大學,D 日,B 學士,428,442,410,441,398,442,395,451,0.0,0.0,0.0,0.0,0.0,0.0,62,56.0,50 高雄市,3 師範,105,高雄市,3525.0,公立,,,,,,,,,,,,,,,,,,,,
14,國立高雄師範大學,N 職,M 碩士,149,232,113,261,83,167,37,74,23.0,42.0,24.0,48.0,0.0,0.0,0,0.0,50 高雄市,3 師範,105,高雄市,1253.0,公立,,,,,,,,,,,,,,,,,,,,
15,國立彰化師範大學,D 日,D 博士,52,31,47,41,50,27,44,30,34.0,27.0,31.0,25.0,26.0,17.0,0,0.0,07 彰化縣,3 師範,105,彰化縣,482.0,公立,,,,,,,,,,,,,,,,,,,,
15,國立彰化師範大學,D 日,M 碩士,290,244,292,258,129,168,65,102,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,07 彰化縣,3 師範,105,彰化縣,1548.0,公立,,,,,,,,,,,,,,,,,,,,
15,國立彰化師範大學,D 日,B 學士,599,593,610,541,595,574,589,582,0.0,0.0,0.0,0.0,0.0,0.0,125,56.0,07 彰化縣,3 師範,105,彰化縣,4864.0,公立,,,,,,,,,,,,,,,,,,,,
15,國立彰化師範大學,N 職,M 碩士,190,262,199,253,59,76,42,63,25.0,25.0,54.0,50.0,0.0,0.0,0,0.0,07 彰化縣,3 師範,105,彰化縣,1298.0,公立,,,,,,,,,,,,,,,,,,,,
16,國立陽明大學,D 日,D 博士,117,58,88,57,92,58,61,65,69.0,46.0,60.0,44.0,72.0,43.0,0,0.0,30 臺北市,1 一般,105,臺北市,930.0,公立,,,,,,,,,,,,,,,,,,,,
16,國立陽明大學,D 日,M 碩士,213,301,180,255,70,79,23,21,1.0,5.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,1148.0,公立,,,,,,,,,,,,,,,,,,,,
16,國立陽明大學,D 日,B 學士,219,193,205,186,211,190,208,199,115.0,63.0,111.0,67.0,75.0,47.0,21,11.0,30 臺北市,1 一般,105,臺北市,2121.0,公立,,,,,,,,,,,,,,,,,,,,
16,國立陽明大學,N 職,M 碩士,20,36,15,33,3,14,3,4,2.0,6.0,0.0,0.0,0.0,0.0,0,0.0,30 臺北市,1 一般,105,臺北市,136.0,公立,,,,,,,,,,,,,,,,,,,,
17,國立臺北大學,D 日,D 博士,28,11,20,16,16,10,26,8,14.0,7.0,12.0,6.0,12.0,6.0,0,0.0,01 新北市,1 一般,105,新北市,192.0,公立,,,,,,,,,,,,,,,,,,,,
17,國立臺北大學,D 日,M 碩士,258,241,231,237,114,102,63,71,3.0,4.0,0.0,0.0,0.0,0.0,0,0.0,01 新北市,1 一般,105,新北市,1324.0,公立,,,,,,,,,,,,,,,,,,,,
17,國立臺北大學,D 日,B 學士,659,758,670,739,588,813,610,764,0.0,0.0,0.0,0.0,0.0,0.0,138,139.0,01 新北市,1 一般,105,新北市,5878.0,公立,,,,,,,,,,,,,,,,,,,,
