id,title,date_published,n_tags,primary_subject,n_description_chars,title_len
z8rfa_v1,"Basslines, Bodies, and Beehive Haircuts: What do we think about when we listen to music?",2026-05-13 02:20:03.425291+00:00,5,Narrative Research,1985,88
rsdum_v1,Influence of partial speaker face occlusion during audiovisual speech perception in age-related hearing loss,2026-05-13 02:18:15.769363+00:00,4,Vision,1989,108
qcbpt_v1,Which coping strategies reduce negative climate emotions when participants get to choose their preferred strategy? A quasi-experimental investigation of meaning- emotion- and problem-focused coping,2026-05-13 02:13:02.893544+00:00,10,"Psychology, other",1511,197
p7hvw_v4,Modelling Implicit Bias in Gender–Career Associations: A systematic comparison of language models,2026-05-13 02:10:22.690056+00:00,1,Quantitative Methods,1477,97
hrbsm_v6,Critical review on the development and evolution of beat perception,2026-05-13 02:04:47.915923+00:00,0,Developmental Psychology,1681,67
e4y58_v1,A One-Year Longitudinal Investigation of the Association between Self and Other-Oriented Future Concern,2026-05-13 02:01:39.163471+00:00,5,"Psychology, other",1471,103
4h2g9_v1,Associations Between Sensory Changes and Psychological Problems After Moderate-to-Severe Traumatic Brain Injury: A Cross-Sectional Network Analysis,2026-05-13 01:58:32.757528+00:00,5,Neuroscience,2363,147
gdy72_v3,Compromise and Blame During Risky Dyadic Foraging,2026-05-13 01:52:08.972776+00:00,0,Social and Behavioral Sciences,1970,49
gak52_v4,Unconscious mental content in implicit evaluation: Evidence from misprediction,2026-05-13 01:49:48.936286+00:00,0,Social Cognition,1729,78
cu465_v1,You’ve got THIS! Demonstratives as a multimodal pathway to early word learning,2026-05-13 01:47:23.017677+00:00,5,Language Aquisition,870,78
gw27e_v1,Open Science Now: A Response to Commentaries on Van Til et al.,2026-05-13 01:44:57.109710+00:00,4,Meta-science,966,62
285rs_v1,"The Cost of Belonging—and Leaving:  Structure, Predictors, and Mental Health Outcomes of Costly Religious Exits",2026-05-13 01:41:36.512885+00:00,0,Religion and Spirituality,1813,111
fmn7t_v1,Material Life Satisfaction Increases Willingness to Engage in Costly Climate Action,2026-05-13 01:28:28.359360+00:00,2,Sustainability Behavior,1208,83
vmyek_v3,Sycophantic AI increases attitude extremity and overconfidence,2026-05-13 01:24:32.164727+00:00,12,Self and Social Identity,1738,62
mzjqv_v1,Attunement: a new principle of optionality,2026-05-12 22:20:37.257789+00:00,0,Linguistics,1188,42
x49bn_v1,"Endometriosis-related pain: Are there specific strategies women uses to manage dysmenorrhea, chronic pelvic pain, dyspareunia, and dyschesia? A qualitative-questionnaire study.",2026-05-12 22:20:01.605318+00:00,6,Clinical Psychology,1529,176
tchym_v1,The Mind's Compass: Semantic control as the guiding mechanism of affordance management,2026-05-12 22:19:02.474416+00:00,5,Social and Behavioral Sciences,441,86
72kt6_v1,Public positivity and private prudence: Differences in prescribed optimism for thoughts and appearances,2026-05-12 22:18:24.418734+00:00,4,Social Cognition,1477,103
